kod_pemaju,found,nama_pemaju,emel,telefon,alamat_perniagaan,alamat_daftar,status_pemaju,bilangan_projek,probe_code,projek_nama,negeri,daerah,status_projek
5925,no,,,,,,,,,,,,
5926,no,,,,,,,,,,,,
5927,yes,EVERGREEN MAINLAND SDN. BHD.,-,,-,-,Aktif,1,5927-1,Taman Bunga Ros 2.,-,-,
5928,yes,GAN CHIN SIONG & SONS REALTY SDN. BHD.,-,,-,-,Aktif,1,5928-1,Taman Seri Jempul,-,-,
5929,yes,WANGSA IDAMAN SDN. BHD.,-,,-,-,Aktif,1,5929-1,Taman Perindustrian Senai,-,-,
5930,yes,COMMON PACIFIC (M) SDN. BHD.,-,,-,-,Aktif,1,5930-1,Taman Orkid.,-,-,
5931,yes,JEDEX REALTY SENDIRIAN BERHAD,slwoo@jedex.com.my,092602250,"K3, Pusat Perniagaan Sungai Jan, 27000, Jerantut, Pahang","Lot 1.39, Tkt 1, Komp. Wilayah, 2, Jalan Munshi Abdullah, 50100, Kuala Lumpur, Wp Kuala Lumpur",Aktif,12,5931-1,Zzz,-,-,
5932,yes,LAUREL DEVT. SDN. BHD.,-,,-,-,Aktif,5,5932-1,Xxx,-,-,
5933,yes,FULLRISE RESOURCES SDN. BHD.,-,,-,-,Aktif,1,5933-1,Pangsapuri Kenanga Seksyen 3,-,-,
5934,yes,SRI GADUT SDN. BHD.,-,,-,-,Aktif,1,5934-1,Taman Tuanku Ampuan Najihah,-,-,
5935,yes,TANCO DEVELOPMENT SDN. BHD.,-,0380708288,"Jalan Desa, Bandar Country Homes, 48000, Gombak, Selangor","Jalan Desa, Bandar Country Homes, 48000, Gombak, Selangor",Aktif,21,5935-1,Tanco Development Sdn Bhd,Selangor,Gombak,
5936,no,,,,,,,,,,,,
5937,yes,FISCAL JAYA DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,1,5937-1,Taman Mewah Cheras,-,-,
5938,no,,,,,,,,,,,,
5939,no,,,,,,,,,,,,
5940,yes,KEMAYAN RESOURCES SDN. BHD.,-,03-21428846,"Box # 375, Unit 7.02, 7th Floor, Wisma Central, Jalan Ampang, 50450, Kuala Lumpur, Wp Kuala Lumpur",-,Aktif,4,5940-1,Lot 1388 Dan 915 Mukim Rasah,-,-,
5941,yes,PANCARAN JELAS (M) SDN. BHD.,-,,-,-,Aktif,1,5941-1,Taman Orkid Desa,-,-,
5942,yes,SIME UEP (JOHOR) SDN. BHD.,edarlina@simedarby.com,03-80240088,"Tingkat 9, Wisma Uep, Jalan Usj 10/1a, Pusat Perniagaan Usj 10, 47620, Petaling , Selangor","Tingkat 9, Wisma Uep, Jalan Usj 10/1a, Pusat Perniagaan Usj 10, 47620, Petaling , Selangor",Aktif,19,5942-1,Palma Ria (2d),-,-,
5943,yes,HULUSETIA (M) SDN. BHD.,-,,-,-,Aktif,1,5943-1,Taman Setia,-,-,
5944,yes,CENTRAL STRATA SDN. BHD.,-,,-,-,Aktif,1,5944-1,Medan Lapangan Legenda.,-,-,
5945,yes,SYARIKAT PERKHIDMATAN MAYC PERAK SDN. BHD.,-,,-,-,Aktif,2,5945-1,Taman Kinta Mas,-,-,
5946,yes,LAYANG KINTA SDN. BHD.,-,,-,-,Aktif,2,5946-1,Taman Kenanga Seksyen 1,-,-,
5947,yes,WISJAYA DEVT SDN. BHD.,-,,-,-,Aktif,1,5947-1,Taman Jementah Jaya,-,-,
5948,no,,,,,,,,,,,,
5949,no,,,,,,,,,,,,
5950,yes,ANTARA MEGAH SDN. BHD.,-,,-,-,Aktif,3,5950-1,Xxx,-,-,
5951,yes,MODULAR RESOURCES SDN. BHD.,-,,-,-,Aktif,1,5951-1,Amanpuri,-,-,
5952,no,,,,,,,,,,,,
5953,yes,FASCISTAR (M) SDN. BHD.,-,,-,-,Aktif,1,5953-1,Villa Aman,-,-,
5954,yes,FINECON DEVELOPMENT SDN. BHD.,-,,"No.4, Tingkat Atas, Jalan Bunga Pekan 5,, Kawasan 6,, 42700, Kuala Langat, Selangor","28,lorong Tapah, Off Jalan Goh Hock Huat, Klang,selangor, 41400, Klang, Selangor",Aktif,5,5954-1,Taman Muhibbah .kawasan Iii,-,-,
5955,yes,LKY DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,3,5955-1,Taman Warisan,-,-,
5956,yes,SUDAMAI SDN. BHD.,-,05-2543600,"33 Jalan Tun Sambanthan, 30000, Kinta, Perak","Room 9, 2nd Floor, Chua Cheng Bok Building, 94 Jalan Sultan Idris Shah., 30000, Kinta, Perak",Aktif,6,5956-1,Taman Ipoh Baru,-,-,
5957,no,,,,,,,,,,,,
5958,no,,,,,,,,,,,,
5959,yes,MEWAH REMBANG SDN. BHD.,-,,-,-,Aktif,2,5959-1,Pangsapuri Villa Mutiara,-,-,
5960,no,,,,,,,,,,,,
5961,yes,YOON TACK CITY DEVT SDN. BHD.,-,,-,-,Aktif,2,5961-1,Taman Baiduri (fasa I),-,-,
5962,yes,CHERAS HONG SOON DEVELOPMENT SDN. BHD.,-,,"No 1-g Jalan Mahkota Residence 2, 43200, Hulu Langat, Selangor","No. 38 Lorong Yap Hin, Off Jalan Pasar, 55100, Kuala Lumpur, Wp Kuala Lumpur",Aktif,30,5962-1,Taman Sri Kuching,-,-,
5963,yes,KITWAH SDN. BHD.,-,,-,-,Aktif,2,5963-1,Taman Perindustrian Lukut Indah,-,-,
5964,no,,,,,,,,,,,,
5965,no,,,,,,,,,,,,
5966,no,,,,,,,,,,,,
5967,no,,,,,,,,,,,,
5968,no,,,,,,,,,,,,
5969,yes,LEMBAH BERINGIN SDN. BHD.,-,,"Wisma Sri Damansara, No. 10, Persiaran Dagang, Bandar Sri Damansara,, 52200, Kuala Lumpur, Wp Kuala Lumpur","Wisma Sri Damansara, No. 10, Persiaran Dagang, Bandar Sri Damansara,, 52200, Kuala Lumpur, Wp Kuala Lumpur",Aktif,11,5969-1,Lembah Beringin,Selangor,Hulu Selangor,
5970,yes,ISLANDPAC SDN. BHD.,-,,-,-,Aktif,1,5970-1,Dumbar Villa,-,-,
5971,yes,GLOMAC -GOODYEAR SDN. BHD.,-,,-,-,Aktif,2,5971-1,Bandar Baru Selayang Fasa 2a.,-,-,
5972,no,,,,,,,,,,,,
5973,yes,JAR FOONG HOUSING DEVT (M) SDN. BHD.,-,,-,-,Aktif,2,5973-1,Taman Kitasama,-,-,
5974,yes,T.S. FONG BUILDERS SDN. BHD.,office@tsfong.com,095132529,"B-2238, Taman Siok Thong, Jalan Lim Hoe Lek, 25000, Kuantan, Pahang","B-38,1st Floor, Lorong Sri Teruntum 139, Off Jalan Bukit Ub, 25100, Kuantan, Pahang",Aktif,12,5974-1,Taman Bukit Sekilau,Pahang,-,
5975,yes,PULAI SPRINGS RESORT BERHAD.,mship.mgr@pulaisprings.com,075212121,"20 Km, Jalan Pontian Lama, 81110, Johor Bahru, Johor","No. 37b, Jalan Basco Kepayang 1,, Basco Avenue @ Kepayang,, 31400, Kinta, Perak",Aktif,4,5975-1,Taman Gunung Pulai,-,-,
5976,yes,CLASSIC LANDMARK (M) SDN. BHD.,-,,-,-,Aktif,1,5976-1,Kondominium Explanade,-,-,
5977,yes,INTERCONSTRUCTION (PERAK) SDN. BHD.,-,,-,-,Aktif,1,5977-1,Bandar Sri Pengkalan,-,-,
5978,yes,WAWASAN INDERA SDN. BHD.,sueann.tan@spsetia.com,0333482255,"Sp Setia Berhad Corporate Hq, No 12 Persiaran Setia Dagang, Setia Alam Seksyen U13, 40170, Petaling , Selangor","Sp Setia Berhad Corporate Hq, No 12 Persiaran Setia Dagang, Setia Alam Seksyen U13, 40170, Petaling , Selangor",Aktif,24,5978-1,Pusat Bandar Puchong,-,-,
5979,no,,,,,,,,,,,,
5980,yes,BUKIT UNGGUL GOLF&COUNTRY RESORTS/B,-,,-,-,Aktif,1,5980-1,Lot 2181 Mukim Dengkil,-,-,
5981,yes,GREMLEEN SDN.BHD.,gremleen@gmail.com,,"C-708, 1st. Floor, Jalan Bukit Ubi, 25200, Kuantan, Pahang","B-38 1st Floor, Lorong Seri Teruntum 139, Off Jalan Bukit Ubi, 25100, Kuantan, Pahang",Aktif,7,5981-1,Taman Awali,-,-,
5982,yes,PINEWIN CORP. SDN. BHD.,-,,-,-,Aktif,1,5982-1,Taman Pahlawan,-,-,
5983,no,,,,,,,,,,,,
5984,yes,CHINVEST PROPERTIES SDN. BHD.,-,,-,-,Aktif,1,5984-1,Taman Sri Ho Li,-,-,
5985,no,,,,,,,,,,,,
5986,yes,TENAGA NUSANTARA SDN. BHD.,-,,-,-,Aktif,1,5986-1,2005 Kluang,-,-,
5987,no,,,,,,,,,,,,
5988,no,,,,,,,,,,,,
5989,yes,INAI EMAS SDN. BHD.,-,,"80 Jalan Taming Sari, 34000, Larut & Matang, Perak","32 (1st Floor ), Jalan Medan Taiping 4, Medan Taiping, 34000, Larut & Matang, Perak",Aktif,5,5989-1,"Lot 2750,mk Asam Kumbang",-,-,
5990,no,,,,,,,,,,,,
5991,yes,WESTCOURT CORPORATION SDN. BHD.,-,,-,-,Aktif,2,5991-1,Taman Subang Perdana Seksyen 3,-,-,
5992,yes,GMT ENTERPRISE,-,,-,-,Aktif,2,5992-1,Taman Sharifah Fasa 1,-,-,
5993,no,,,,,,,,,,,,
5994,yes,JULONG MOULDINGS SDN. BHD.,-,,-,-,Aktif,1,5994-1,Taman Zapin,-,-,
5995,yes,ASM DEVELOPMENT (TERENGGANU) SDN. BHD.,-,,"Pt8812 Tingkat 1, Bangunan Kedai Pejabat 2 Tingkat , Jalan Tempurung Chukai , 24000, Kemaman, Terengganu","Level 21,maju Tower, 1001 Jalan Sultan Ismail, 50250, Kuala Lumpur, Wp Kuala Lumpur",Aktif,7,5995-1,Bandar Baru Bukit Mentok - Fasa 1,Terengganu,Kemaman,
5996,yes,CITRA TANI SDN. BHD.,-,,-,-,Aktif,1,5996-1,Taman Maju,-,-,
5997,yes,CAPITAL SQUARE SDN. BHD.,-,03-2697 8787,"Level 10 Menara Brdr,285 Jln Maarof,bukit Bandaraya, 59000, Kuala Lumpur, Wp Kuala Lumpur","Tingkat 31, Menara Multi - Purpose, Jalan Munshi Abdullah, 50100, Kuala Lumpur, Wp Kuala Lumpur",Aktif,2,5997-1,Capsquare Residence,Wp Kuala Lumpur,Kuala Lumpur,
5998,no,,,,,,,,,,,,
5999,no,,,,,,,,,,,,
6000,no,,,,,,,,,,,,
6001,yes,LANGKAWI GREEN SDN. BHD.,-,,-,-,Aktif,1,6001-1,Sri Idaman,-,-,
6002,yes,PANDANG JAYA DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,2,6002-1,Taman Seri Sementa,-,-,
6003,yes,GROBINA RESORT SDN. BHD.,-,,-,-,Aktif,2,6003-1,Kondominium Tg.samudera,-,-,
6004,no,,,,,,,,,,,,
6005,yes,PERWIRA REKA SDN. BHD.,-,,"16-2f, Jalan Setia Dagang U13/aj, Seksyen U13 Setia Alam, 40170, Selangor","D12, Tingkat 1, Plaza Pekeliling, No 2 Jalan Tun Razak,kuala Lumpur, 50400, Kuala Lumpur, Wp Kuala Lumpur",Aktif,2,6005-1,Taman Perwira,-,-,
6006,yes,SYARIKAT NAGA PUTARA SDN. BHD.,-,,"No. 180, Jalan Lunas,, Taman Seri Seladang,, 09600, Kulim, Kedah","No. 182a, Jalan Raja Uda, Pusat Perniagaan Raja Uda, 12300, Seberang Perai Utara, Pulau Pinang",Aktif,2,6006-1,Taman Kobis Iii,-,-,
6007,no,,,,,,,,,,,,
6008,no,,,,,,,,,,,,
6009,yes,MENTIGA CORPORATION BHD,-,,-,-,Aktif,2,6009-1,Taman Perumahan Sg Isap Iii,-,-,
6010,yes,EXCELPHONE SDN. BHD.,excsb91@yahoo.com,095145000,"E-913, 1st. Floor, Jalan Bukit Ubi, 25200, Kuantan, Pahang","B-38, 1st Floor, Lorong Seri Teruntum 139, Off Jalan Bukit Ubi, 25100, Kuantan, Pahang",Aktif,7,6010-1,Taman Impiana,-,-,
6011,yes,REGAL CREST (M) SDN. BHD.,-,,-,-,Aktif,4,6011-1,Desa Bukit Jambul,-,-,
6012,yes,BLOSSOM ORDER SDN. BHD.,-,,-,-,Aktif,11,6012-1,Taman Teluk Intan,-,-,
6013,yes,MAXTRA CORPORATION SDN. BHD.,-,,-,-,Aktif,1,6013-1,Desa Kayang,-,-,
6014,no,,,,,,,,,,,,
6015,yes,HALAMAN UNIK SDN. BHD.,-,,"16, Jalan Berek, 34000, Larut & Matang, Perak","No. 81, Jalan  Market,, 30000, Kinta, Perak",Aktif,4,6015-1,Taman Jana Mulia Kemunting.,-,-,
6016,yes,IJM CORPORATION BHD,-,,-,-,Aktif,1,6016-1,Pangsapuri Pantai,Pulau Pinang,Seberang Perai Utara,
6017,yes,HEE & PARTNERS DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,9,6017-1,Taman Teresa Jaya,-,-,
6018,no,,,,,,,,,,,,
6019,yes,THONG YOON CHUN & SONS SDN. BHD.,-,,-,-,Aktif,2,6019-1,Desa Perwira,-,-,
6020,no,,,,,,,,,,,,
6021,yes,MAWAR KELANA (M) SDN. BHD.,-,,-,-,Aktif,1,6021-1,Taman Kesidang Seksyen Ii,-,-,
6022,yes,IDAMAN TEGAS SDN. BHD.,-,,-,-,Aktif,7,6022-1,Taman Puchong Permai,-,-,
6023,yes,BERKAT TIGA SDN BHD ,-,,-,-,Aktif,3,6023-1,Margosa Apartment,-,-,
6024,yes,ENG HIN LEE SDN. BHD.,-,,-,-,Aktif,3,6024-1,Taman Bersatu,-,-,
6025,yes,ALIRAN MURNI SDN. BHD.,-,03-61578111,"No 34 Jalan Pekaka 8/3, Seksyen 8 Kota Damansara, 47810, Petaling , Selangor","No 34 Jalan Pekaka 8/3, Seksyen 8 Kota Damansara, 47810, Petaling , Selangor",Aktif,5,6025-1,Taman Subang Murni,-,-,
6026,no,,,,,,,,,,,,
6027,yes,ZIAN HONG DEVELOPMENT SDN.BHD.,-,,"No. 4,, Persiaran Sultan Ibrahim,, 41300, Klang, Selangor","No. 4, Persiaran Sultan Ibrahim, 41300, Klang, Selangor",Aktif,7,6027-1,Xxx,-,-,
6028,yes,SINEO ENTERPRISE SDN. BHD.,-,,-,-,Aktif,1,6028-1,Skudai Parade,-,-,
6029,yes,SUMBER LENGKAP SDN. BHD.,aini@metrok.com.,03-87378228,"5th Floor, Wisma Metro Kajang, Jalan Semenyih,, 43000, Hulu Langat, Selangor","5th Floor, Wisma Metro Kajang, Jalan Semenyih,, 43000, Hulu Langat, Selangor",Aktif,2,6029-1,Taman Mewah Indah.,-,-,
6030,no,,,,,,,,,,,,
6031,no,,,,,,,,,,,,
6032,no,,,,,,,,,,,,
6033,no,,,,,,,,,,,,
6034,yes,TANAH SUTERA DEVELOPMENT SDN. BHD.,zulkifli.pausi@tanahsutera.com,072899009,"No. 2, Jalan Sutera Merah 2, Taman Sutera, 81200, Johor Bahru, Johor","No.2, Jalan Sutera Merah 2, Taman Sutera, 81200, Johor Bahru, Johor",Aktif,36,6034-1,"Taman Sutera Fasa 1c, 2c Dan 5c",-,-,
6035,no,,,,,,,,,,,,
6036,no,,,,,,,,,,,,
6037,no,,,,,,,,,,,,
6038,no,,,,,,,,,,,,
6039,no,,,,,,,,,,,,
6040,yes,GROUP LINK CONSTRUCTION SDN. BHD.,kew.anvil@gmail.com,0362111328,"422, Jalan Jugra, 42700, Kuala Langat, Selangor","B-01-24 (1st Floor), , Jalan Bunga Pekan, 42700, Kuala Langat, Selangor",Aktif,2,6040-1,Taman Nira.,-,-,
6041,no,,,,,,,,,,,,
6042,yes,KIARA MESTIKA SDN. BHD.,-,,-,-,Aktif,1,6042-1,Taman Sri Petaling.,-,-,
6043,no,,,,,,,,,,,,
6044,no,,,,,,,,,,,,
6045,no,,,,,,,,,,,,
6046,yes,MASCOT STAR ENTERPRISE SDN. BHD.,-,04-6562285,"347, Jalan Hilir Pemancar, 11700, Daerah Timor Laut, Pulau Pinang","Suite 7.04 & 7.05 , 7th Floor, 11 Lorong Kinta, 10400, Daerah Timor Laut, Pulau Pinang",Aktif,2,6046-1,Sentosa,-,-,
6047,yes,OFFICE PARK DEVT SDN. BHD.,-,,-,-,Aktif,1,6047-1,"Kondominium Bunga Raya,saujana",-,-,
6048,no,,,,,,,,,,,,
6049,yes,SBJ BINAJAYA DEVELOPMENT SDN. BHD.,processing.sbj@gmail.com,097481500,"No 5400 E & F, Bangunan Sbj, Jalan Sultan Yahya Petra, 15200, Kota Bharu, Kelantan","No 5400 E & F, Bangunan Sbj, Jalan Sultan Yahya Petra, 15200, Kota Bharu, Kelantan",Aktif,81,6049-1,Desa Binajaya,Kelantan,-,
6050,yes,ANSAN DINAMIK SDN. BHD.,-,,-,-,Aktif,1,6050-1,Taman Happy,-,-,
6051,no,,,,,,,,,,,,
6052,yes,KERIS PROPERTIES SDN. BHD.,yammie@teamkeris.com.my,052811222,"Tkb Tower, Times Square Ipoh, A-g-1 Jalan Sultan Nazrin Shah, 30250, Kinta, Perak","No. 37b, Jalan Basco Kepayang 1,, Basco Avenue @ Kepayang,, 31400, Kinta, Perak",Aktif,11,6052-1,Anjung Bercham Indah,-,-,
6053,no,,,,,,,,,,,,
6054,yes,TAFAR CONSTRUCTION SDN. BHD.,-,,-,-,Aktif,1,6054-1,Taman Bachang Jaya,-,-,
6055,no,,,,,,,,,,,,
6056,yes,MASCAS BINTANG SDN. BHD.,-,,-,-,Aktif,3,6056-1,Taman Sri Rapat Fasa 1,-,-,
6057,no,,,,,,,,,,,,
6058,yes,GENTING DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,2,6058-1,Taman Goh Tong Jaya,-,-,
6059,no,,,,,,,,,,,,
6060,yes,BAIDURI HEIGHT DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,1,6060-1,Lot 26 Mukim Kuah (chogm Villa),-,-,
6061,no,,,,,,,,,,,,
6062,yes,PUNCAK PERMATA SDN. BHD.,-,,-,-,Aktif,1,6062-1,Bandaraya Sri Hartamas,-,-,
6063,yes,SEBANA PROPERTIES SDN. BHD.,-,,-,-,Aktif,3,6063-1,Sebana Resort Pangsapuri,-,-,
6064,yes,BENUA CERMAT SDN. BHD.,-,,-,-,Aktif,1,6064-1,Taman Intan Mas Fasa Ii,-,-,
6065,yes,MAGNAVILLA SDN. BHD.,-,,-,-,Aktif,1,6065-1,Taman Cheras Jaya.,-,-,
6066,no,,,,,,,,,,,,
6067,no,,,,,,,,,,,,
6068,no,,,,,,,,,,,,
6069,yes,HAI CHOON DEVELOPMENT SDN. BHD.,-,06-3354751,"10-a, Jln.gp1, Taman Gadong Perdana, 75250, Melaka Tengah, Melaka","302-b Taman Melaka Raya, 75000, Melaka Tengah, Melaka",Aktif,8,6069-1,Taman Pandan Jaya,-,-,
6070,no,,,,,,,,,,,,
6071,no,,,,,,,,,,,,
6072,yes,SINJA DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,3,6072-1,Taman Aman,-,-,
6073,yes,MARAN DEVELPMENT SDN. BHD.,-,,-,-,Aktif,3,6073-1,Xxx,-,-,
6074,yes,SRIKAN DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,1,6074-1,Desa Samudera,-,-,
6075,yes,BUDIJAKSA SDN. BHD.,-,,-,-,Aktif,1,6075-1,Taman Permai,-,-,
6076,yes,EAST ASIATIC HOUSING DEV. SDN. BHD.,AMSYEGA@YAHOO.COM,05-5985781,"78 Jalan Besar, 31100, Kuala Kangsar, Perak","78 Jalan Besar, 31100, Kuala Kangsar, Perak",Aktif,4,6076-1,Taman Jalong - Baru,-,-,
6077,yes,CHERRYWOOD DEVELOPMENT SDN. BHD.,ehp@tm.net.my,057161246,"No. 45, Jalan Taiping,, 34200, Kerian, Perak","No. 12 (first Floor), Lorong Sendidit, Taman Sentosa,, 14300, Seberang Perai Selatan, Pulau Pinang",Aktif,2,6077-1,Taman Camar ,-,-,
6078,no,,,,,,,,,,,,
6079,no,,,,,,,,,,,,
6080,yes,PADU INTAN PROPERTIES SDN BHD.,-,,-,-,Aktif,2,6080-1,Taman Mutiara,-,-,
6081,no,,,,,,,,,,,,
6082,yes,KEMAJUAN TAMAN MIN SDN. BHD.,-,,-,-,Aktif,4,6082-1,Taman Seruling  Fasa 1,-,-,
6083,yes,MEGAEXCEL SDN. BHD.,-,,-,-,Aktif,1,6083-1,Taman Bahagia Indah,-,-,
6084,no,,,,,,,,,,,,
6085,yes,LOH THOW YOONG SDN BHD,-,,"204 Jalan Kuarantin Lama, 34000, Larut & Matang, Perak","204 Jln.kuarantin Lama, 34000, Larut & Matang, Perak",Aktif,5,6085-1,Medan Lapangan Sentosa,-,-,
6086,no,,,,,,,,,,,,
6087,yes,UIS DEVELOPMENT SDN. BHD.,lpg_c@yahoo.com,04-7310159,"1885-b, Jalan Stadium, 05100, Kota Setar, Kedah","1885-b, Jalan Stadium, 05100, Kota Setar, Kedah",Aktif,3,6087-1,Xxx,-,-,
6088,yes,PINE PROPERTIES SDN. BHD.,-,,"Two Ioi Square, Ioi Resort, 62502, Tiada Maklumat Daerah, Wp Kuala Lumpur","Two Ioi Square, Ioi Resort, 62502, Tiada Maklumat Daerah, Wp Kuala Lumpur",Aktif,4,6088-1,Palm Garden,-,-,
6089,yes,PROPERTY VILLAGE BERHAD,perumahan@ioiproperties.com.my,075959228,"Nos 1-1 & 2-3, Level 1 & 2, D'putra Suite Tower, Lebuh Putra Utama, Bandar Putra, 81000, Kulai, Johor","Level 29, Ioi City Tower 2,, Lebuh Irc, Ioi Resort City,, 62502, Putrajaya, Wp Putrajaya",Aktif,28,6089-1,Bandar Baru Senai Fasa 1,-,-,
6090,no,,,,,,,,,,,,
6091,yes,HIL PROPERTIES SDN. BHD.,amreal@po.jaring.my,03-3373 2888,"Tingkat 9, Menara A&m, Garden Business Centre, No.3, Jalan Istana, 41000, Klang, Selangor","36a Lorong Gelugor Off Persiaran Sultan Ibrahim, 41300, Klang, Selangor",Aktif,1,6091-1,Taman Pangsapuri Malim,Melaka,Melaka Tengah,
6092,no,,,,,,,,,,,,
6093,yes,"TANCO PROPERTIES (NORTH) SDN BHD (283834-V),",-,,-,-,Aktif,1,6093-1,Azuria Condominium,-,-,
6094,no,,,,,,,,,,,,
6095,no,,,,,,,,,,,,
6096,no,,,,,,,,,,,,
6097,no,,,,,,,,,,,,
6098,yes,SYARIKAT KUANTAN DEVT SDN. BHD.,-,,-,-,Aktif,3,6098-1,Taman Beserah Ria,-,-,
6099,yes,GOLDEN ALPINE SDN. BHD.,-,,-,-,Aktif,2,6099-1,Taman Merak Mas,-,-,
6100,no,,,,,,,,,,,,
6101,yes,FIKIRAN JUARA SDN. BHD.,-,,-,-,Aktif,1,6101-1,Taman Melaka Park,-,-,
6102,yes,SRI JEMENTAH SDN. BHD.,-,,-,-,Aktif,2,6102-1,Taman Jaya,-,-,
6103,no,,,,,,,,,,,,
6104,yes,TAMAN JERNEH SDN. BHD.,-,,-,-,Aktif,1,6104-1,Taman Tasek Putera,-,-,
6105,yes,IDAMAN KAYANGAN SDN. BHD.,-,,-,-,Aktif,2,6105-1,Taman Sri Tahan Jerantut,-,-,
6106,yes,HARTAWAN BAHAGIA SDN. BHD.,hartawan0606@yahoo.com,0138681829,"No. 5a1, 1st Floor, Jalan Vistana, Taiping Vistana, 34000, Larut & Matang, Perak","32 (tingkat 1), Jalan Medan Taiping 4, Medan Taiping, 34000, Larut & Matang, Perak",Aktif,8,6106-1,Bandar Baru Mambang,-,-,
6107,yes,PUSING JAYA SDN. BHD.,-,,-,-,Aktif,1,6107-1,Taman Pusing Baru,-,-,
6108,no,,,,,,,,,,,,
6109,yes,SAMUDERA KUKUH SDN. BHD.,-,,-,-,Aktif,1,6109-1,Taman Utama,-,-,
6110,no,,,,,,,,,,,,
6111,yes,EASTERN PROGRESS INDUSTRIES SDN. BHD.,-,,-,-,Aktif,3,6111-1,Taman Labu Utama,-,-,
6112,yes,TIONG ENG REALTY SDN. BHD.,-,,-,-,Aktif,2,6112-1,Taman  Bukit Perdana,-,-,
6113,yes,PERUMAHAN BATU GAJAH SDN. BHD.,-,,-,-,Aktif,1,6113-1,Taman Mewah Indah.,-,-,
6114,yes,AMONA SDN. BHD.,-,,-,-,Aktif,2,6114-1,Dwi Mahkota,-,-,
6115,yes,SARATOGOA SENDIRIAN BERHAD,-,,-,-,Aktif,4,6115-1,Polo Park,-,-,
6116,no,,,,,,,,,,,,
6117,yes,UNIQUE CREATIONS SDN. BHD.,-,03-20266841,"9th Floor, Wisma Char Yong, 89 Jalan Ampang, 50450, Kuala Lumpur, Wp Kuala Lumpur","9th Floor, Wisma Char Yong, 89 Jalan Ampang, 50450, Kuala Lumpur, Wp Kuala Lumpur",Aktif,1,6117-1,Bandar Pinggiran Subang Seksyen 2.,-,-,
6118,yes,BANGI RESORT & DEVELOPMENT CORP. SDN. BHD.,-,,-,-,Aktif,2,6118-1,Bangi Golf Resort,-,-,
6119,yes,KOK HOON DEVELOPMENT SDN. BHD.,khdevsb@po.jaring.my,04-3985839,"2666 Jalan Chain Ferry, Taman Inderawasih, 13600, Seberang Perai Tengah, Pulau Pinang","2666 Jalan Chain Ferry, Taman Inderawasih, 13600, Seberang Perai Tengah, Pulau Pinang",Aktif,12,6119-1,Taman Sri Limau,-,-,
6120,no,,,,,,,,,,,,
6121,yes,CERAH INDAH SDN. BHD.,-,,-,-,Aktif,4,6121-1,Taman Cerah,-,-,
6122,no,,,,,,,,,,,,
6123,yes,KEMAJUAN LIAN AK SDN. BHD.,-,,"No.8, Jalan Murni 1, Taman Murni, 86000, Kluang, Johor","No. 48a & 49a, Jalan Mohd. Salleh, 83000, Batu Pahat, Johor",Aktif,15,6123-1,Taman Murni,-,-,
6124,no,,,,,,,,,,,,
6125,yes,PRESTAJAYA SDN. BHD.,pjgroup@streamyx.com,06-7640018,"437, Jalan Tun Dr. Ismail,, 70200, Seremban, Negeri Sembilan","437, Jalan Tun Dr. Ismail,, 70200, Seremban, Negeri Sembilan",Aktif,2,6125-1,Taman Mutiara Galla,Negeri Sembilan,Seremban,
6126,yes,MILLION ESTATE DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,2,6126-1,Taman Sri Kawan.,-,-,
6127,yes,NCK DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,2,6127-1,'rachando Bay Resort',-,-,
6128,no,,,,,,,,,,,,
6129,yes,FACTOR SYNERGY SDN. BHD.,marketing@ta.com.my,0320721277,"34th Floor, Menara Ta One, 22, Jalan P. Ramlee, 50250, Kuala Lumpur, Wp Kuala Lumpur","34th Floor,menara Ta One, 22,jalan P.ramlee, Kuala Lumpur, 50250, Kuala Lumpur, Wp Kuala Lumpur",Aktif,4,6129-1,Pt 11298-11301 Mukim Klang,-,-,
6130,yes,SEBERAI MAJUJAYA SDN. BHD.,-,,-,-,Aktif,1,6130-1,Taman Damai,-,-,
6131,yes,MBSB DEVELOPMENT SDN. BHD.,-,,-,-,Aktif,8,6131-1,Indera Mahkota Ii,-,-,
6132,no,,,,,,,,,,,,
6133,yes,UNIJOH JAYA SDN. BHD.,-,,"No 24, 2nd Floor, Jalan Gunung, Lambak 1, Taman Gunung Lambak, 86000, Kluang, Johor","41, Tingkat 2, Jalan Dato Hj Hassan, 86000, Kluang, Johor",Aktif,5,6133-1,Taman Maju Jaya Baru,-,-,
6134,no,,,,,,,,,,,,
6135,yes,HATI SUCI SDN. BHD.,-,,-,-,Aktif,2,6135-1,Taman Setia Rawang,-,-,
6136,no,,,,,,,,,,,,
6137,yes,ANTABANI CORPORATION SDN. BHD.,-,,-,-,Aktif,2,6137-1,Taman Belida,-,-,
